Sıra No,İşletme Adı,Tesis İli,Lisans Konuları
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Atık Elektrikli ve Elektronik Eşya İşleme
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, PCB Arındırma
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Atık Ara Depolama
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi
37,HAŞİMOĞLU ÇEVRE ENTEGRE ATIK YÖNETİMİ GERİ DÖNÜŞÜM MADENCİLİK TAŞIMACILIK İNŞAAT GIDA TURİZM TEKSTİL OTOMOTİV PETROL ISITMA SOĞUTMA DOĞALGAZ SİSTEMLERİ TİCARET VE SANAYİ ANONİM ŞİRKETİ,MARDİN, Ambalaj Atığı Toplama ve Ayırma Tip 
38,GÜMÜŞTAŞ MADENCİLİK VE TİCARET ANONİM ŞİRKETİ,NİĞDE,Maden Atığı Bertaraf- Depolama Kategori 
39,RMM MADENCİLİK METALURJİ AKARYAKIT GIDA TURİZM TİCARET VE SANAYİ ANONİM ŞİRKETİ YEŞİLHİSAR ŞUBESİ,KAYSERİ,Tehlikeli Atık Geri Kazanımı
39,RMM MADENCİLİK METALURJİ AKARYAKIT GIDA TURİZM TİCARET VE SANAYİ ANONİM ŞİRKETİ YEŞİLHİSAR ŞUBESİ,KAYSERİ,Tehlikesiz Atık Geri Kazanımı
40,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,NEVŞEHİR,Tehlikeli Atık Geri Kazanımı
40,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,NEVŞEHİR, Tehlikesiz Atık Geri Kazanımı
40,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,NEVŞEHİR, Atık Elektrikli ve Elektronik Eşya İşleme
40,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,NEVŞEHİR, PCB Arındırma
40,ER METAL MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKET - ACIGÖL ŞUBESİ,NEVŞEHİR, Atık Ara Depolama
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL,Tehlikeli Atık Geri Kazanımı
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL,Tehlikesiz Atık Geri Kazanımı
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL, Ambalaj Atığı Geri Kazanımı
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL, Ömrünü Tamamlamış Araç Geçici Depolama
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL, Tanker Temizleme
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL, Hurda Metal /ÖTA İşleme
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL, Atık Elektrikli ve Elektronik Eşya İşleme
41,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL, PCB Arındırma
